,device_hw_proc,device_hw_ram,device_hw_display,device_hw_video,device_os_name,device_os_version
130630,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz,4GB 1886306304,"1366x768 Touch 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_14471043&REV_09\3&11583659&2&10",Microsoft Windows 7 Home Premium ,6.1.7601 Service Pack 1 Build 7601
814618,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,16GB 4293918720,"1920x1080 96,96 32","NVIDIA GeForce GTX 1050 Ti, PCI\VEN_10DE&DEV_1C82&SUBSYS_245419DA&REV_A1\4&57356CA&0&0008",Microsoft Windows 10 Home,10.0.16299  Build 16299
170659,Intel(R) Core(TM) i7-5960X CPU @ 3.00GHz,32GB,1920x1080,NVIDIA Quadro M4000,Microsoft Windows 10 Pro,10.0.10586  Build 10586
176328,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Pentium(R) CPU G840 @ 2.80GHz,4GB 1073741824,"1920x1080 96,96 32","NVIDIA GeForce GT 430, PCI\VEN_10DE&DEV_0DE1&SUBSYS_00000000&REV_A1\4&4459B80&0&0008",Microsoft Windows 7 Корпоративная ,6.1.7601 Service Pack 1 Build 7601
203027,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,16GB,1600x900,Intel(R) HD Graphics 4600,Microsoft Windows 8.1 Pro,6.3.9600  Build 9600
383337,Intel(R) Core(TM) i7-2630QM CPU @ 2.00GHz,16GB,1920x1080,NVIDIA GeForce GT 550M,Microsoft Windows 7 Home Premium ,6.1.7601 Service Pack 1 Build 7601
331731,Intel64 Family 6 Model 45 Stepping 7 Intel(R) Xeon(R) CPU E5-1620 0 @ 3.60GHz,32GB 1073741824,"1280x1024 96,96 32, 1280x1024 96,96 32","NVIDIA Quadro 2000, PCI\VEN_10DE&DEV_0DD8&SUBSYS_084A10DE&REV_A1\4&2E5147CC&0&0018, \\.\DISPLAY1",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
441695,Intel(R) Core(TM) i7-4800MQ CPU @ 2.70GHz,8GB,1920x1080,AMD FirePro M5100 FireGL V,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
105730,Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz,8GB,1920x1080,Intel(R) HD Graphics 4600,Microsoft Windows 10 专业版,10.0.15063  Build 15063
149456,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,4GB,1366x768,Intel(R) HD Graphics 620,Microsoft Windows 10 Pro,10.0.15063  Build 15063
212351,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,12GB,1920x1080,Intel(R) HD Graphics 620,Microsoft Windows 10 Home,10.0.15063  Build 15063
218065,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i3-4005U CPU @ 1.70GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics Family, PCI\VEN_8086&DEV_0A16&SUBSYS_380D17AA&REV_0B\3&11583659&0&10",Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
189116,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_07601028&REV_04\3&11583659&0&10",Microsoft Windows 10 Home,10.0.15063  Build 15063
807960,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz,4GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_1912&SUBSYS_82F2103C&REV_06\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.10240  Build 10240
697693,AMD E1-6010 APU with AMD Radeon R2 Graphics    ,3GB,1366x768,AMD Radeon(TM) R2 Graphics,Microsoft Windows 10 Home Single Language,10.0.14393  Build 14393
375673,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16GB 4293918720,"1920x1080 96,96 32","NVIDIA Quadro K2200, PCI\VEN_10DE&DEV_13BA&SUBSYS_1097103C&REV_A2\4&16C3A8AF&0&0008",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
461816,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz,4GB 2153623552,"1920x1080 Touch 144,144 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_01661414&REV_09\3&11583659&0&10",Microsoft Windows 8.1 Pro,6.3.9600  Build 9600
356014,Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz,8GB,1920x1080,NVIDIA Quadro K620,Microsoft Windows 10 Professionnel,10.0.10586  Build 10586
96354,Intel(R) Core(TM) i7-4510U CPU @ 2.00GHz,8GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 10 Pro,10.0.10586  Build 10586
157093,Intel64 Family 6 Model 26 Stepping 5 Intel(R) Xeon(R) CPU           W3550  @ 3.07GHz,8GB 1073741824,"1366x768 96,96 32","NVIDIA GeForce GT 220 , PCI\VEN_10DE&DEV_0A20&SUBSYS_29D31ACC&REV_A2\4&5128130&0&0018",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
69914,Intel64 Family 6 Model 15 Stepping 11 Intel(R) Core(TM)2 Quad CPU    Q6600  @ 2.40GHz,8GB 2147483648,"1280x1024 96,96 32, 1280x1024 96,96 32","NVIDIA GeForce GTX 1050, PCI\VEN_10DE&DEV_1C81&SUBSYS_11C010DE&REV_A1\4&21D451D8&0&0008, \\.\DISPLAY1",Microsoft Windows 7 Ultimate K ,6.1.7601 Service Pack 1 Build 7601
384883,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,16GB,1366x768,Intel(R) HD Graphics 4600,Microsoft Windows 10 Home Single Language,10.0.10240  Build 10240
643404,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,16GB 1073741824,"1920x1080 120,120 32, 2400x1500 120,120 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_8079103C&REV_07\3&11583659&2&10, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
90070,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i7-7600U CPU @ 2.80GHz,32GB 2147483648,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA GeForce 930MX, PCI\VEN_10DE&DEV_134E&SUBSYS_07A81028&REV_A2\4&10573376&0&00E4, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.16299  Build 16299
659890,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz,4GB 1873309696,"1600x900 96,96 32","Intel(R) HD Graphics 3000, PCI\VEN_8086&DEV_0126&SUBSYS_1619103C&REV_09\3&33FD14CA&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
240060,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1920x1200,NVIDIA Quadro K1200,Microsoft Windows 10 Enterprise,10.0.16299  Build 16299
61548,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i3-4130 CPU @ 3.40GHz,4GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 4400, PCI\VEN_8086&DEV_041E&SUBSYS_309817AA&REV_06\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.14393  Build 14393
614225,AMD A6-7310 APU with AMD Radeon R4 Graphics    ,3GB,1920x1080,AMD Radeon(TM) R4 Graphics,Microsoft Windows 10 Home Single Language,10.0.14393  Build 14393
707710,AMD64 Family 21 Model 16 Stepping 1 AMD A6-4400M APU with Radeon(tm) HD Graphics   ,5GB 653371899904,"1366x768 96,96 32","AMD Radeon HD 7520G, PCI\VEN_1002&DEV_9990&SUBSYS_1847103C&REV_00\3&2411E6FE&0&08",Microsoft Windows 8 Single Language,6.2.9200  Build 9200
481608,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Xeon(R) CPU E3-1230 v5 @ 3.40GHz,16GB 4293918720,"1680x1050 96,96 32","NVIDIA GeForce GTX 1050 Ti, PCI\VEN_10DE&DEV_1C82&SUBSYS_11BF1B4C&REV_A1\4&2D78AB8F&0&0008",Microsoft Windows 10 专业版,10.0.15063  Build 15063
463406,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,8GB 4293918720,"1920x1080 96,96 32","NVIDIA GeForce GTX 745, PCI\VEN_10DE&DEV_1382&SUBSYS_106510DE&REV_A2\4&110F4A7C&0&0008",Microsoft Windows 7 家庭普通版 ,6.1.7601 Service Pack 1 Build 7601
608051,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Xeon(R) CPU E3-1225 v5 @ 3.30GHz,16GB 2147483648,"1920x1080 Touch 96,96 32, 1920x1080 96,96 32","NVIDIA Quadro M620, PCI\VEN_10DE&DEV_13B4&SUBSYS_82C0103C&REV_A2\4&12D56EA1&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
58982,Intel(R) Xeon(R) CPU E5-2620 0 @ 2.00GHz,16GB,1920x1080,AMD Radeon (TM) R9 360,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
518298,Intel64 Family 6 Model 76 Stepping 3 Intel(R) Celeron(R) CPU  N3050  @ 1.60GHz,4GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_22B1&SUBSYS_06AC1028&REV_21\3&11583659&1&10",Microsoft Windows 10 Home,10.0.10586  Build 10586
388181,Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz,4GB,1366x768,CyberLink Mirror Driver,Microsoft Windows 7 Ultimate ,6.1.7601 Service Pack 1 Build 7601
14400,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,16GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_06EF1028&REV_06\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
689623,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2540M CPU @ 2.60GHz,8GB 1073741824,"1600x900 96,96 32","AMD Radeon HD 7400M Series, PCI\VEN_1002&DEV_6760&SUBSYS_161E103C&REV_00\4&11D27E18&0&0008",Microsoft Windows 10 Pro,10.0.14393  Build 14393
741066,Intel(R) Core(TM) i5-4430 CPU @ 3.00GHz,4GB,1920x1080,Intel(R) HD Graphics 4600,Microsoft Windows 10 专业版,10.0.14393  Build 14393
607456,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,4GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_382917AA&REV_07\3&11583659&0&10",Майкрософт Windows 10 Домашняя для одного языка,10.0.14393  Build 14393
291485,Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz,8GB,1366x768,Intel(R) HD Graphics 4600,Microsoft Windows 10 Enterprise,10.0.15063  Build 15063
534700,Intel(R) Pentium(R) CPU G2030 @ 3.00GHz,4GB,,,Microsoft Windows 7 Ultimate ,6.1.7601 Service Pack 1 Build 7601
277436,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16GB 4293918720,"1920x1080 96,96 32","NVIDIA GeForce GTX 960, PCI\VEN_10DE&DEV_1401&SUBSYS_854D1043&REV_A1\4&2D78AB8F&0&0008",Microsoft Windows 10 Enterprise 2016 LTSB,10.0.14393  Build 14393
563074,x64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,3GB 11430042919763968,"1920x1080 96,96 32","Intel(R) HD Graphics 4600, PCI\VEN_8086&DEV_0412&SUBSYS_309817AA&REV_06\3&11583659&0&10",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
275246,Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz,8GB,1920x1080,Intel(R) UHD Graphics 620,Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
66209,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i3-2310M CPU @ 2.10GHz,4GB 1898315776,"1366x768 96,96 32","Intel(R) HD Graphics 3000, PCI\VEN_8086&DEV_0116&SUBSYS_41401558&REV_09\3&11583659&0&10",Microsoft Windows 10 Enterprise,10.0.15063  Build 15063
339750,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,8GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 10 Pro,10.0.10240  Build 10240
499168,Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,4GB,1920x1080,Intel(R) HD Graphics 520,Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
138961,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,8GB,1920x1080,NVIDIA GeForce GT 630,Microsoft Windows 8.1 Single Language,6.3.9600  Build 9600
292132,Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz,8GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 10 Home Single Language,10.0.14393  Build 14393
565070,AMD Athlon(tm) X4 860K Quad Core Processor     ,8GB,1920x1080,AMD Radeon R7 350 Series,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
346051,AMD A4-4020 APU with Radeon(tm) HD Graphics    ,4GB,1366x768,NVIDIA GeForce 210 ,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
392158,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz,16GB 1073741824,"1920x1080 120,120 32","Intel(R) HD Graphics 530, PCI\VEN_8086&DEV_191B&SUBSYS_1C5D1043&REV_06\3&11583659&1&10",Microsoft Windows 10 家用版,10.0.10586  Build 10586
155485,Intel(R) Core(TM) i5-6300HQ CPU @ 2.30GHz,8GB,1920x1080,Intel(R) HD Graphics 530,Microsoft Windows 10 家用版,10.0.14393  Build 14393
94626,Intel(R) Xeon(R) CPU E3-1230 v5 @ 3.40GHz,16GB,1920x1080,NVIDIA GeForce GTX 1050 Ti,Microsoft Windows 7 Professional K ,6.1.7601 Service Pack 1 Build 7601
219179,Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz,8GB,1920x1080,AMD Radeon HD 6770M,EI Capitan,10.11.6
153371,AMD E1-6010 APU with AMD Radeon R2 Graphics    ,3GB,1366x768,Microsoft Basic Display Adapter,Microsoft Windows 8.1 Enterprise,6.3.9600  Build 9600
386193,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,8GB 2147483648,"1920x1080 96,96 32","NVIDIA GeForce GTX 1050, PCI\VEN_10DE&DEV_1C81&SUBSYS_372E1458&REV_A1\4&55F94E4&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
375316,Intel(R) Core(TM) i7-4500U CPU @ 1.80GHz,8GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 10 Home Single Language,10.0.14393  Build 14393
710700,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,4GB 2147483648,"1920x1080 96,96 32","NVIDIA GeForce GT 1030, PCI\VEN_10DE&DEV_1D01&SUBSYS_11C71B4C&REV_A1\4&38AB2860&0&0008",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
721654,Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,6GB,1366x768,Intel(R) HD Graphics 5500,Microsoft Windows 10 Pro,10.0.10240  Build 10240
681236,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,8GB,1920x1080,Intel(R) HD Graphics 520,Microsoft Windows 10 Home,10.0.14393  Build 14393
423627,AMD Athlon(tm) II X2 250 Processor,4GB,1440x900,NVIDIA GeForce GT 520,Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
294315,Intel64 Family 6 Model 61 Stepping 4 Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 5500, PCI\VEN_8086&DEV_1616&SUBSYS_C782144D&REV_09\3&11583659&0&10",Microsoft Windows 10 Home Single Language,10.0.15063  Build 15063
42089,Intel64 Family 6 Model 69 Stepping 1 Intel(R) Core(TM) i3-4025U CPU @ 1.90GHz,4GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics Family, PCI\VEN_8086&DEV_0A16&SUBSYS_2B38103C&REV_0B\3&11583659&0&10",Microsoft Windows 10 Home,10.0.16299  Build 16299
277501,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,16GB 4293918720,"1920x1080 96,96 32","NVIDIA Quadro K2200, PCI\VEN_10DE&DEV_13BA&SUBSYS_109710DE&REV_A2\4&1CDA0A78&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
238619,x64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz,3GB 1073741824,"1366x768 96,96 32","ATI Radeon HD 5400 Series, PCI\VEN_1002&DEV_68E1&SUBSYS_3000174B&REV_00\4&33B12EE1&0&0008",Microsoft Windows Embedded Standard ,6.1.7601 Service Pack 1 Build 7601
37354,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz,8GB 1073414144,"1920x1080 96,96 32","NVIDIA Quadro 600, PCI\VEN_10DE&DEV_0DF8&SUBSYS_0835103C&REV_A1\4&381B7556&0&0030",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
650627,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,8GB,1366x768,Intel(R) HD Graphics 530,Microsoft Windows 10 Pro,10.0.10586  Build 10586
211313,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,4GB 1875615744,"1600x900 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_179B103C&REV_09\3&E89B380&0&10",Microsoft Windows 7 Enterprise ,6.1.7601 Service Pack 1 Build 7601
790744,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,16GB 4293918720,"1366x768 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_0F02&SUBSYS_111710DE&REV_A1\4&10ADFEBB&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
225747,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz,8GB 1073741824,"1920x1080 96,96 32","NVIDIA GeForce GTX 550 Ti, PCI\VEN_10DE&DEV_1244&SUBSYS_00007377&REV_A1\4&15AA0599&0&0008",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
211271,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,16GB,1680x1050,Intel(R) HD Graphics 530,Microsoft Windows 7 Enterprise K ,6.1.7601 Service Pack 1 Build 7601
251374,Intel64 Family 6 Model 78 Stepping 3 Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz,8GB 1073741824,"1920x1080 144,144 32","Intel(R) HD Graphics 520, PCI\VEN_8086&DEV_1916&SUBSYS_00008086&REV_07\3&11583659&0&10",Microsoft Windows 10 家庭中文版,10.0.14393  Build 14393
532786,Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz,16GB,1920x1080,Intel(R) HD Graphics Family,Microsoft Windows 7 Enterprise K ,6.1.7601 Service Pack 1 Build 7601
665351,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz,32GB 4293918720,"2560x1440 96,96 32","NVIDIA Quadro K2200, PCI\VEN_10DE&DEV_13BA&SUBSYS_109710DE&REV_A2\4&3834D97&0&0008",Microsoft Windows 10 專業版,10.0.14393  Build 14393
606972,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,8GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_86941043&REV_04\3&11583659&0&10",Microsoft Windows 10 家用版,10.0.14393  Build 14393
625406,Intel64 Family 6 Model 42 Stepping 7 Intel(R) Core(TM) i5-2320 CPU @ 3.00GHz,4GB 1073741824,"1440x900 96,96 32","NVIDIA Quadro 600, PCI\VEN_10DE&DEV_0DF8&SUBSYS_083510DE&REV_A1\4&80E7924&0&0008",Microsoft Windows 7 旗舰版 ,6.1.7601 Service Pack 1 Build 7601
179185,Intel64 Family 6 Model 158 Stepping 9 Intel(R) Core(TM) i7-7700K CPU @ 4.20GHz,64GB 1073741824,"1920x1080 96,96 32","Intel(R) HD Graphics 630, PCI\VEN_8086&DEV_5912&SUBSYS_86941043&REV_04\3&11583659&0&10",Microsoft Windows 10 Pro,10.0.15063  Build 15063
424757,Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,12GB,1920x1080,RADEON X600 Series (Microsoft Corporation - WDDM) ,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
246228,Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz,16GB,1920x1080,Intel(R) HD Graphics 520,Microsoft Windows 10 Pro,10.0.14393  Build 14393
631351,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,8GB,2560x1440,NVIDIA GeForce GT 755M,EI Capitan,10.11.6
67857,Intel(R) Core(TM) i5-7500 CPU @ 3.40GHz,16GB,1920x1080,NVIDIA GeForce GTX 1050,Microsoft Windows 7 Home Premium K ,6.1.7601 Service Pack 1 Build 7601
353293,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz,4GB,1680x1050,Intel(R) HD Graphics 4600,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
538262,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,4GB 2150715392,"1366x768 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_00011179&REV_09\3&11583659&0&10",Microsoft Windows 10 Enterprise,10.0.14393  Build 14393
615195,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz,16GB 2214592512,"1366x768 96,96 32","Intel(R) HD Graphics 4000, PCI\VEN_8086&DEV_0166&SUBSYS_17AB103C&REV_09\3&21436425&0&10",Microsoft Windows 10 Pro,10.0.14393  Build 14393
277481,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Xeon(R) CPU E3-1245 v5 @ 3.50GHz,32GB 4293918720,"1920x1080 96,96 32, 1920x1080 96,96 32","NVIDIA Quadro M4000, PCI\VEN_10DE&DEV_13F1&SUBSYS_1153103C&REV_A1\4&787313E&0&0008, \\.\DISPLAY1",Microsoft Windows 10 Pro,10.0.15063  Build 15063
772624,Intel64 Family 6 Model 58 Stepping 9 Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz,8GB 2415919104,"1920x1080 96,96 32","Intel(R) HD Graphics, PCI\VEN_8086&DEV_0152&SUBSYS_0D8A105B&REV_09\3&11583659&0&10",Microsoft Windows 7 Ultimate K ,6.1.7601 Service Pack 1 Build 7601
220502,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,8GB 2147483648,"1920x1080 96,96 32","NVIDIA GeForce GTX 750 Ti, PCI\VEN_10DE&DEV_1380&SUBSYS_362D1458&REV_A2\4&2D78AB8F&0&0008",Microsoft Windows 10 Enterprise,10.0.15063  Build 15063
365372,Intel(R) Core(TM) i7-4771 CPU @ 3.50GHz,8GB,1680x1050,Intel(R) HD Graphics 4600,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
172801,Intel(R) Xeon(R) CPU E3-1240 v5 @ 3.50GHz,16GB,1920x1200,NVIDIA Quadro M2000,Microsoft Windows 10 Pro,10.0.14393  Build 14393
107738,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz,8GB 2147483648,"1680x1050 96,96 32","NVIDIA GeForce GTX 745, PCI\VEN_10DE&DEV_1382&SUBSYS_249A174B&REV_A2\4&1CE6F17E&0&0008",Microsoft Windows 10 Education,10.0.15063  Build 15063
648340,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8GB,1366x768,Intel(R) HD Graphics 620,Microsoft Windows 10 Home,10.0.15063  Build 15063
546375,Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz,4GB,1366x768,Intel(R) HD Graphics 4000,Microsoft Windows 10 Pro,10.0.15063  Build 15063
265546,Intel64 Family 6 Model 142 Stepping 9 Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,8GB 1073741824,"1366x768 96,96 32","Intel(R) HD Graphics 620, PCI\VEN_8086&DEV_5916&SUBSYS_14901043&REV_02\3&11583659&0&10",Microsoft Windows 10 家庭中文版,10.0.10586  Build 10586
95945,Intel64 Family 6 Model 94 Stepping 3 Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz,16GB 2147483648,"3440x1440 96,96 32","NVIDIA GeForce GT 730, PCI\VEN_10DE&DEV_1287&SUBSYS_84F51043&REV_A1\4&2D78AB8F&0&0008",Microsoft Windows 10 Pro,10.0.15063  Build 15063
256163,Intel(R) Core(TM) i5-7400 CPU @ 3.00GHz,8GB,1366x768,Intel(R) HD Graphics 630,Microsoft Windows 10 Home,10.0.15063  Build 15063
290143,Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz,16GB,1920x1080,NVIDIA GeForce GT 730,Microsoft Windows 7 Профессиональная ,6.1.7601 Service Pack 1 Build 7601
468017,Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz,4GB,1366x768,Intel(R) HD Graphics Family,Microsoft Windows 10 教育版,10.0.14393  Build 14393
259713,Intel64 Family 6 Model 60 Stepping 3 Intel(R) Core(TM) i5-4460  CPU @ 3.20GHz,8GB 1073741824,"1280x1024 96,96 32","NVIDIA Quadro K600, PCI\VEN_10DE&DEV_0FFA&SUBSYS_094B10DE&REV_A1\4&3834D97&0&0008",Microsoft Windows 10 专业版,10.0.15063  Build 15063
357014,Intel(R) Xeon(R) CPU E5-1620 0 @ 3.60GHz,16GB,1920x1080,NVIDIA GeForce GT 630,Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
195898,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,16GB,1920x1080,NVIDIA GeForce GTX 1070,Microsoft Windows 10 Professionnel,10.0.15063  Build 15063
563912,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz,8GB,1366x768,Intel(R) HD Graphics 630,Microsoft Windows 10 Pro,10.0.14393  Build 14393
222642,Intel64 Family 6 Model 45 Stepping 7 Intel(R) Xeon(R) CPU E5-1620 0 @ 3.60GHz,16GB 3221225472,"1920x1080 96,96 32, 1920x1200 96,96 32","NVIDIA Quadro K4000 , PCI\VEN_10DE&DEV_11FA&SUBSYS_079C103C&REV_A1\4&16C9E9F9&0&0010, \\.\DISPLAY1",Microsoft Windows 7 Professional ,6.1.7601 Service Pack 1 Build 7601
